caldt,vwretd
1928-06-16,-0.000032
1928-06-18,-0.020095
1928-06-19,-0.005895
1928-06-20,0.013968
1928-06-21,0.001610
1928-06-22,-0.000237
1928-06-23,-0.006315
1928-06-25,0.001093
1928-06-26,0.010066
1928-06-27,0.010141
1928-06-28,0.008241
1928-06-29,0.004996
1928-06-30,0.001387
1928-07-02,-0.011703
1928-07-03,0.016328
1928-07-05,0.009524
1928-07-06,-0.003032
1928-07-07,0.002714
1928-07-09,0.000262
1928-07-10,-0.002800
1928-07-11,-0.023194
1928-07-12,-0.006277
1928-07-13,0.007097
1928-07-14,-0.000027
1928-07-16,-0.012227
1928-07-17,0.004656
1928-07-18,0.009027
1928-07-19,-0.001525
1928-07-20,0.001170
1928-07-21,-0.002253
1928-07-23,0.006318
1928-07-24,0.000533
1928-07-25,0.004292
1928-07-26,0.002482
1928-07-27,0.007981
1928-07-28,0.002491
1928-07-30,-0.001258
1928-07-31,-0.000816
1928-08-01,0.002616
1928-08-02,-0.004354
1928-08-03,0.002529
1928-08-04,0.002205
1928-08-06,0.007176
1928-08-07,-0.003511
1928-08-08,-0.011027
1928-08-09,0.001235
1928-08-10,-0.001932
1928-08-11,0.001330
1928-08-13,-0.000379
1928-08-14,-0.006299
1928-08-15,0.013890
1928-08-16,0.008045
1928-08-17,0.002873
1928-08-18,0.003037
1928-08-20,0.002294
1928-08-21,0.009954
1928-08-22,0.001421
1928-08-23,0.000223
1928-08-24,0.013724
1928-08-25,0.002865
1928-08-27,-0.002901
1928-08-28,0.006403
1928-08-29,0.002643
1928-08-30,0.003041
1928-08-31,0.011656
1928-09-01,0.002696
1928-09-04,0.004191
1928-09-05,0.004253
1928-09-06,-0.004042
1928-09-07,0.006697
1928-09-08,-0.002959
1928-09-10,-0.003392
1928-09-11,0.006397
1928-09-12,0.003373
1928-09-13,-0.000683
1928-09-14,0.001409
1928-09-15,0.005912
1928-09-17,0.005463
1928-09-18,-0.006810
1928-09-19,-0.000386
1928-09-20,0.001632
1928-09-21,0.006726
1928-09-22,-0.002416
1928-09-24,0.006423
1928-09-25,-0.000706
1928-09-26,-0.001149
1928-09-27,-0.012055
1928-09-28,0.000283
1928-09-29,0.010406
1928-10-01,-0.000987
1928-10-02,-0.004182
1928-10-03,-0.002533
1928-10-04,0.002753
1928-10-05,-0.002406
1928-10-06,-0.000284
1928-10-08,-0.003331
1928-10-09,0.001346
1928-10-10,0.009460
1928-10-11,0.003179
1928-10-13,0.005708
1928-10-15,0.003912
1928-10-16,0.003205
1928-10-17,0.003827
1928-10-18,0.003039
1928-10-19,0.005258
1928-10-20,-0.004473
1928-10-22,-0.001018
1928-10-23,0.006643
1928-10-24,0.002229
1928-10-25,-0.002593
1928-10-26,-0.011296
1928-10-27,0.008681
1928-10-29,0.007181
1928-10-30,-0.010111
1928-10-31,-0.004229
1928-11-01,0.012843
1928-11-02,-0.001061
1928-11-03,0.000509
1928-11-05,0.011436
1928-11-07,0.011941
1928-11-08,-0.002479
1928-11-09,0.007456
1928-11-10,0.008294
1928-11-12,0.003801
1928-11-13,0.000704
1928-11-14,0.001214
1928-11-15,0.003510
1928-11-16,0.017687
1928-11-17,0.001018
1928-11-19,0.001950
1928-11-20,0.011386
1928-11-21,-0.014958
1928-11-22,0.014060
1928-11-23,0.003474
1928-11-26,0.005241
1928-11-27,0.003063
1928-11-28,0.010817
1928-11-30,0.003530
1928-12-01,-0.005813
1928-12-03,-0.007217
1928-12-04,0.002120
1928-12-05,-0.006547
1928-12-06,-0.035292
1928-12-07,-0.023348
1928-12-08,-0.018891
1928-12-10,0.016627
1928-12-11,0.022833
1928-12-12,-0.007558
1928-12-13,-0.002961
1928-12-14,0.002868
1928-12-15,-0.003655
1928-12-17,-0.003704
1928-12-18,0.010825
1928-12-19,0.012059
1928-12-20,0.003437
1928-12-21,0.010530
1928-12-22,0.001034
1928-12-24,0.008600
1928-12-26,-0.003042
1928-12-27,0.006603
1928-12-28,0.013440
1928-12-29,0.002108
1928-12-31,0.013713
1929-01-02,0.015499
1929-01-03,0.001776
1929-01-04,0.000488
1929-01-05,-0.008781
1929-01-07,-0.012838
1929-01-08,-0.002283
1929-01-09,0.012226
1929-01-10,0.002821
1929-01-11,-0.000647
1929-01-12,-0.002531
1929-01-14,0.003086
1929-01-15,-0.010058
1929-01-16,0.009653
1929-01-17,0.007179
1929-01-18,0.002064
1929-01-19,0.002016
1929-01-21,0.001782
1929-01-22,0.006747
1929-01-23,0.005664
1929-01-24,-0.007940
1929-01-25,0.011631
1929-01-26,0.003195
1929-01-28,-0.003334
1929-01-29,-0.001754
1929-01-30,0.003056
1929-01-31,0.013864
1929-02-01,0.006132
1929-02-02,0.000114
1929-02-04,-0.004495
1929-02-05,0.002352
1929-02-06,-0.008406
1929-02-07,-0.029683
1929-02-08,-0.009921
1929-02-11,0.022852
1929-02-13,0.000893
1929-02-14,-0.005903
1929-02-15,-0.016381
1929-02-16,-0.013859
1929-02-18,0.011507
1929-02-19,0.002224
1929-02-20,0.008836
1929-02-21,0.007876
1929-02-25,0.002598
1929-02-26,0.003955
1929-02-27,0.010568
1929-02-28,0.010269
1929-03-01,0.010819
1929-03-02,-0.002674
1929-03-04,-0.009513
1929-03-05,-0.006544
1929-03-06,-0.015541
1929-03-07,0.007766
1929-03-08,0.005734
1929-03-09,-0.000029
1929-03-11,-0.012946
1929-03-12,0.002243
1929-03-13,0.009913
1929-03-14,0.015554
1929-03-15,0.010539
1929-03-16,0.002649
1929-03-18,-0.004238
1929-03-19,0.000304
1929-03-20,0.000273
1929-03-21,-0.004740
1929-03-22,-0.011986
1929-03-23,-0.009762
1929-03-25,-0.030885
1929-03-26,-0.012648
1929-03-27,0.033070
1929-03-28,0.017354
1929-04-01,-0.022689
1929-04-02,0.012023
1929-04-03,-0.010741
1929-04-04,0.012006
1929-04-05,-0.007356
1929-04-06,0.001352
1929-04-08,-0.009243
1929-04-09,-0.008846
1929-04-10,0.004956
1929-04-11,0.010696
1929-04-12,0.006114
1929-04-13,0.000001
1929-04-15,-0.005604
1929-04-16,0.000649
1929-04-17,0.010084
1929-04-18,0.004010
1929-04-19,-0.000382
1929-04-20,0.002090
1929-04-22,0.008744
1929-04-23,0.004593
1929-04-24,-0.002513
